MORPHEMES,MORPHS,ZEROFILLED,RAW
BANAALI PL PTV,banaale.i.ta,banaale.i.ta,b a n a a l {iiiiee} {ij} {Øt} {aä}
BANAALI PL ILL,banaale.i.hin,banaale.i.hin,b a n a a l {iiiiee} {ij} {Øh} {V} n
KALSIUM,kalsium,kalsiumØ,k a l s i u m {Øiiie} 
KALSIUM GEN,kalsiumi.n,kalsiumi.n,k a l s i u m {Øiiie} n
KALSIUM PTV,kalsiumi.a,kalsiumi.Øa,k a l s i u m {Øiiie} {Øt} {aä}
KALSIUM ESS,kalsiumi.na,kalsiumi.na,k a l s i u m {Øiiie} {nrs} {aä}
KALSIUM ILL,kalsiumi.in,kalsiumi.Øin,k a l s i u m {Øiiie} {Øh} {V} n
KALSIUM ILL,kalsiumi.hin,kalsiumi.hin,k a l s i u m {Øiiie} {Øh} {V} n
KALSIUM PL INE,kalsiume.i.ssa,kalsiume.i.ssa,k a l s i u m {Øiiie} {ij} s s {aä}
KALSIUM PL GENien,kalsium.i.en,kalsiumØ.i.en,k a l s i u m {Øiiie} {ij} e n
KALSIUM GENin,kalsiume.in,kalsiume.in,k a l s i u m {Øiiie} i n
KALSIUM PL PTV,kalsiume.j.a,kalsiume.j.Øa,k a l s i u m {Øiiie} {ij} {Øt} {aä}
KALSIUM PL ILL,kalsiume.i.hin,kalsiume.i.hin,k a l s i u m {Øiiie} {ij} {Øh} {V} n
TUPPI,tuppi,tuppi,t u p {pØppp} {ieeeØ} 
TUPPI GEN,tupe.n,tupØe.n,t u p {pØppp} {ieeeØ} n
TUPPI PTV,tuppe.a,tuppe.Øa,t u p {pØppp} {ieeeØ} {Øt} {aä}
TUPPI ESS,tuppe.na,tuppe.na,t u p {pØppp} {ieeeØ} {nrs} {aä}
TUPPI ILL,tuppe.en,tuppe.Øen,t u p {pØppp} {ieeeØ} {Øh} {V} n
TUPPI ILL,tuppe.hen,tuppe.hen,t u p {pØppp} {ieeeØ} {Øh} {V} n
TUPPI PL INE,tup.i.ssa,tupØØ.i.ssa,t u p {pØppp} {ieeeØ} {ij} s s {aä}
TUPPI PL GENien,tupp.i.en,tuppØ.i.en,t u p {pØppp} {ieeeØ} {ij} e n
TUPPI GENin,tuppe.in,tuppe.in,t u p {pØppp} {ieeeØ} i n
TUPPI PL PTV,tupp.i.a,tuppØ.i.Øa,t u p {pØppp} {ieeeØ} {ij} {Øt} {aä}
TUPPI PL ILL,tupp.i.in,tuppØ.i.Øin,t u p {pØppp} {ieeeØ} {ij} {Øh} {V} n
TUPPI PL ILL,tupp.i.hin,tuppØ.i.hin,t u p {pØppp} {ieeeØ} {ij} {Øh} {V} n
NALLE,nalle,nalle,n a l l e 
NALLE GEN,nalle.n,nalle.n,n a l l e n
NALLE PTV,nalle.a,nalle.Øa,n a l l e {Øt} {aä}
NALLE ESS,nalle.na,nalle.na,n a l l e {nrs} {aä}
NALLE ILL,nalle.en,nalle.Øen,n a l l e {Øh} {V} n
NALLE ILL,nalle.hen,nalle.hen,n a l l e {Øh} {V} n
NALLE PL INE,nalle.i.ssa,nalle.i.ssa,n a l l e {ij} s s {aä}
NALLE PL GENien,nalle.j.en,nalle.j.en,n a l l e {ij} e n
NALLE GENin,nalle.in,nalle.in,n a l l e i n
NALLE PL PTV,nalle.j.a,nalle.j.Øa,n a l l e {ij} {Øt} {aä}
NALLE PL ILL,nalle.i.hin,nalle.i.hin,n a l l e {ij} {Øh} {V} n
KALA,kala,kala,k a l {aaaao} 
KALA GEN,kala.n,kala.n,k a l {aaaao} n
KALA PTV,kala.a,kala.Øa,k a l {aaaao} {Øt} {aä}
KALA ESS,kala.na,kala.na,k a l {aaaao} {nrs} {aä}
KALA ILL,kala.an,kala.Øan,k a l {aaaao} {Øh} {V} n
KALA ILL,kala.han,kala.han,k a l {aaaao} {Øh} {V} n
KALA PL INE,kalo.i.ssa,kalo.i.ssa,k a l {aaaao} {ij} s s {aä}
KALA PL GENien,kalo.j.en,kalo.j.en,k a l {aaaao} {ij} e n
KALA GENin,kala.in,kala.in,k a l {aaaao} i n
KALA PL PTV,kalo.j.a,kalo.j.Øa,k a l {aaaao} {ij} {Øt} {aä}
KALA PL ILL,kalo.i.hin,kalo.i.hin,k a l {aaaao} {ij} {Øh} {V} n
KOIRA,koira,koira,k o i r {aaaaØ} 
KOIRA GEN,koira.n,koira.n,k o i r {aaaaØ} n
KOIRA PTV,koira.a,koira.Øa,k o i r {aaaaØ} {Øt} {aä}
KOIRA ESS,koira.na,koira.na,k o i r {aaaaØ} {nrs} {aä}
KOIRA ILL,koira.an,koira.Øan,k o i r {aaaaØ} {Øh} {V} n
KOIRA ILL,koira.han,koira.han,k o i r {aaaaØ} {Øh} {V} n
KOIRA PL INE,koir.i.ssa,koirØ.i.ssa,k o i r {aaaaØ} {ij} s s {aä}
KOIRA PL GENien,koir.i.en,koirØ.i.en,k o i r {aaaaØ} {ij} e n
KOIRA GENin,koira.in,koira.in,k o i r {aaaaØ} i n
KOIRA PL PTV,koir.i.a,koirØ.i.Øa,k o i r {aaaaØ} {ij} {Øt} {aä}
KOIRA PL ILL,koir.i.in,koirØ.i.Øin,k o i r {aaaaØ} {ij} {Øh} {V} n
KOIRA PL ILL,koir.i.hin,koirØ.i.hin,k o i r {aaaaØ} {ij} {Øh} {V} n
MATALA,matala,matala,m a t a l {aaaaaØo} 
MATALA GEN,matala.n,matala.n,m a t a l {aaaaaØo} n
MATALA PTV,matala.a,matala.Øa,m a t a l {aaaaaØo} {Øt} {aä}
MATALA PTV,matala.ta,matala.ta,m a t a l {aaaaaØo} {Øt} {aä}
MATALA ESS,matala.na,matala.na,m a t a l {aaaaaØo} {nrs} {aä}
MATALA ILL,matala.an,matala.Øan,m a t a l {aaaaaØo} {Øh} {V} n
MATALA ILL,matala.han,matala.han,m a t a l {aaaaaØo} {Øh} {V} n
MATALA PL INE,matal.i.ssa,matalØ.i.ssa,m a t a l {aaaaaØo} {ij} s s {aä}
MATALA PL INE,matalo.i.ssa,matalo.i.ssa,m a t a l {aaaaaØo} {ij} s s {aä}
MATALA PL GENiden,matalo.i.den,matalo.i.dØen,m a t a l {aaaaaØo} {ij} {dt} {Øt} e n
MATALA PL GENiden,matalo.i.tten,matalo.i.tten,m a t a l {aaaaaØo} {ij} {dt} {Øt} e n
MATALA PL GENien,matal.i.en,matalØ.i.en,m a t a l {aaaaaØo} {ij} e n
MATALA PL GENien,matalo.j.en,matalo.j.en,m a t a l {aaaaaØo} {ij} e n
MATALA GENin,matala.in,matala.in,m a t a l {aaaaaØo} i n
MATALA PL PTV,matal.i.a,matalØ.i.Øa,m a t a l {aaaaaØo} {ij} {Øt} {aä}
MATALA PL PTV,matalo.i.ta,matalo.i.ta,m a t a l {aaaaaØo} {ij} {Øt} {aä}
MATALA PL ILL,matal.i.in,matalØ.i.Øin,m a t a l {aaaaaØo} {ij} {Øh} {V} n
MATALA PL ILL,matalo.i.hin,matalo.i.hin,m a t a l {aaaaaØo} {ij} {Øh} {V} n
MATALA PL ILL,matal.i.hin,matalØ.i.hin,m a t a l {aaaaaØo} {ij} {Øh} {V} n
ASEMA,asema,asema,a s e m {aaaaaØ} 
ASEMA GEN,asema.n,asema.n,a s e m {aaaaaØ} n
ASEMA PTV,asema.a,asema.Øa,a s e m {aaaaaØ} {Øt} {aä}
ASEMA PTV,asema.ta,asema.ta,a s e m {aaaaaØ} {Øt} {aä}
ASEMA ESS,asema.na,asema.na,a s e m {aaaaaØ} {nrs} {aä}
ASEMA ILL,asema.an,asema.Øan,a s e m {aaaaaØ} {Øh} {V} n
ASEMA ILL,asema.han,asema.han,a s e m {aaaaaØ} {Øh} {V} n
ASEMA PL INE,asem.i.ssa,asemØ.i.ssa,a s e m {aaaaaØ} {ij} s s {aä}
ASEMA PL GENien,asem.i.en,asemØ.i.en,a s e m {aaaaaØ} {ij} e n
ASEMA GENin,asema.in,asema.in,a s e m {aaaaaØ} i n
ASEMA PL PTV,asem.i.a,asemØ.i.Øa,a s e m {aaaaaØ} {ij} {Øt} {aä}
ASEMA PL ILL,asem.i.in,asemØ.i.Øin,a s e m {aaaaaØ} {ij} {Øh} {V} n
ASEMA PL ILL,asem.i.hin,asemØ.i.hin,a s e m {aaaaaØ} {ij} {Øh} {V} n
KULKIJA,kulkija,kulkija,k u l k i j {aaaaao} 
KULKIJA GEN,kulkija.n,kulkija.n,k u l k i j {aaaaao} n
KULKIJA PTV,kulkija.a,kulkija.Øa,k u l k i j {aaaaao} {Øt} {aä}
KULKIJA PTV,kulkija.ta,kulkija.ta,k u l k i j {aaaaao} {Øt} {aä}
KULKIJA ESS,kulkija.na,kulkija.na,k u l k i j {aaaaao} {nrs} {aä}
KULKIJA ILL,kulkija.an,kulkija.Øan,k u l k i j {aaaaao} {Øh} {V} n
KULKIJA ILL,kulkija.han,kulkija.han,k u l k i j {aaaaao} {Øh} {V} n
KULKIJA PL INE,kulkijo.i.ssa,kulkijo.i.ssa,k u l k i j {aaaaao} {ij} s s {aä}
KULKIJA PL GENiden,kulkijo.i.den,kulkijo.i.dØen,k u l k i j {aaaaao} {ij} {dt} {Øt} e n
KULKIJA PL GENiden,kulkijo.i.tten,kulkijo.i.tten,k u l k i j {aaaaao} {ij} {dt} {Øt} e n
KULKIJA GENin,kulkija.in,kulkija.in,k u l k i j {aaaaao} i n
KULKIJA PL PTV,kulkijo.i.ta,kulkijo.i.ta,k u l k i j {aaaaao} {ij} {Øt} {aä}
KULKIJA PL ILL,kulkijo.i.hin,kulkijo.i.hin,k u l k i j {aaaaao} {ij} {Øh} {V} n
MANSIKKA,mansikka,mansikka,m a n s i k {kØkkkØk} {aaaaaoo} 
MANSIKKA GEN,mansika.n,mansikØa.n,m a n s i k {kØkkkØk} {aaaaaoo} n
MANSIKKA PTV,mansikka.a,mansikka.Øa,m a n s i k {kØkkkØk} {aaaaaoo} {Øt} {aä}
MANSIKKA PTV,mansikka.ta,mansikka.ta,m a n s i k {kØkkkØk} {aaaaaoo} {Øt} {aä}
MANSIKKA ESS,mansikka.na,mansikka.na,m a n s i k {kØkkkØk} {aaaaaoo} {nrs} {aä}
MANSIKKA ILL,mansikka.an,mansikka.Øan,m a n s i k {kØkkkØk} {aaaaaoo} {Øh} {V} n
MANSIKKA ILL,mansikka.han,mansikka.han,m a n s i k {kØkkkØk} {aaaaaoo} {Øh} {V} n
MANSIKKA PL INE,mansiko.i.ssa,mansikØo.i.ssa,m a n s i k {kØkkkØk} {aaaaaoo} {ij} s s {aä}
MANSIKKA PL GENiden,mansiko.i.den,mansikØo.i.dØen,m a n s i k {kØkkkØk} {aaaaaoo} {ij} {dt} {Øt} e n
MANSIKKA PL GENiden,mansiko.i.tten,mansikØo.i.tten,m a n s i k {kØkkkØk} {aaaaaoo} {ij} {dt} {Øt} e n
MANSIKKA PL GENien,mansikko.j.en,mansikko.j.en,m a n s i k {kØkkkØk} {aaaaaoo} {ij} e n
MANSIKKA GENin,mansikka.in,mansikka.in,m a n s i k {kØkkkØk} {aaaaaoo} i n
MANSIKKA PL PTV,mansiko.i.ta,mansikØo.i.ta,m a n s i k {kØkkkØk} {aaaaaoo} {ij} {Øt} {aä}
MANSIKKA PL PTV,mansikko.j.a,mansikko.j.Øa,m a n s i k {kØkkkØk} {aaaaaoo} {ij} {Øt} {aä}
MANSIKKA PL ILL,mansikko.i.hin,mansikko.i.hin,m a n s i k {kØkkkØk} {aaaaaoo} {ij} {Øh} {V} n
MANSIKKA PL ILL,mansiko.i.hin,mansikØo.i.hin,m a n s i k {kØkkkØk} {aaaaaoo} {ij} {Øh} {V} n
HARAKKA,harakka,harakka,h a r a k {kØkkkØk} {aaaaaoo} 
HARAKKA GEN,haraka.n,harakØa.n,h a r a k {kØkkkØk} {aaaaaoo} n
HARAKKA PTV,harakka.a,harakka.Øa,h a r a k {kØkkkØk} {aaaaaoo} {Øt} {aä}
HARAKKA PTV,harakka.ta,harakka.ta,h a r a k {kØkkkØk} {aaaaaoo} {Øt} {aä}
HARAKKA ESS,harakka.na,harakka.na,h a r a k {kØkkkØk} {aaaaaoo} {nrs} {aä}
HARAKKA ILL,harakka.an,harakka.Øan,h a r a k {kØkkkØk} {aaaaaoo} {Øh} {V} n
HARAKKA ILL,harakka.han,harakka.han,h a r a k {kØkkkØk} {aaaaaoo} {Øh} {V} n
HARAKKA PL INE,harako.i.ssa,harakØo.i.ssa,h a r a k {kØkkkØk} {aaaaaoo} {ij} s s {aä}
HARAKKA PL GENiden,harako.i.den,harakØo.i.dØen,h a r a k {kØkkkØk} {aaaaaoo} {ij} {dt} {Øt} e n
HARAKKA PL GENiden,harako.i.tten,harakØo.i.tten,h a r a k {kØkkkØk} {aaaaaoo} {ij} {dt} {Øt} e n
HARAKKA PL GENien,harakko.j.en,harakko.j.en,h a r a k {kØkkkØk} {aaaaaoo} {ij} e n
HARAKKA GENin,harakka.in,harakka.in,h a r a k {kØkkkØk} {aaaaaoo} i n
HARAKKA PL PTV,harako.i.ta,harakØo.i.ta,h a r a k {kØkkkØk} {aaaaaoo} {ij} {Øt} {aä}
HARAKKA PL PTV,harakko.j.a,harakko.j.Øa,h a r a k {kØkkkØk} {aaaaaoo} {ij} {Øt} {aä}
HARAKKA PL ILL,harakko.i.hin,harakko.i.hin,h a r a k {kØkkkØk} {aaaaaoo} {ij} {Øh} {V} n
HARAKKA PL ILL,harako.i.hin,harakØo.i.hin,h a r a k {kØkkkØk} {aaaaaoo} {ij} {Øh} {V} n
KANTAJA,kantaja,kantaja,k a n t a j {aaaaaØo} 
KANTAJA GEN,kantaja.n,kantaja.n,k a n t a j {aaaaaØo} n
KANTAJA PTV,kantaja.a,kantaja.Øa,k a n t a j {aaaaaØo} {Øt} {aä}
KANTAJA PTV,kantaja.ta,kantaja.ta,k a n t a j {aaaaaØo} {Øt} {aä}
KANTAJA ESS,kantaja.na,kantaja.na,k a n t a j {aaaaaØo} {nrs} {aä}
KANTAJA ILL,kantaja.an,kantaja.Øan,k a n t a j {aaaaaØo} {Øh} {V} n
KANTAJA ILL,kantaja.han,kantaja.han,k a n t a j {aaaaaØo} {Øh} {V} n
KANTAJA PL INE,kantaj.i.ssa,kantajØ.i.ssa,k a n t a j {aaaaaØo} {ij} s s {aä}
KANTAJA PL INE,kantajo.i.ssa,kantajo.i.ssa,k a n t a j {aaaaaØo} {ij} s s {aä}
KANTAJA PL GENiden,kantajo.i.den,kantajo.i.dØen,k a n t a j {aaaaaØo} {ij} {dt} {Øt} e n
KANTAJA PL GENiden,kantajo.i.tten,kantajo.i.tten,k a n t a j {aaaaaØo} {ij} {dt} {Øt} e n
KANTAJA PL GENien,kantaj.i.en,kantajØ.i.en,k a n t a j {aaaaaØo} {ij} e n
KANTAJA GENin,kantaja.in,kantaja.in,k a n t a j {aaaaaØo} i n
KANTAJA PL PTV,kantaj.i.a,kantajØ.i.Øa,k a n t a j {aaaaaØo} {ij} {Øt} {aä}
KANTAJA PL PTV,kantajo.i.ta,kantajo.i.ta,k a n t a j {aaaaaØo} {ij} {Øt} {aä}
KANTAJA PL ILL,kantaj.i.in,kantajØ.i.Øin,k a n t a j {aaaaaØo} {ij} {Øh} {V} n
KANTAJA PL ILL,kantajo.i.hin,kantajo.i.hin,k a n t a j {aaaaaØo} {ij} {Øh} {V} n
KANTAJA PL ILL,kantaj.i.hin,kantajØ.i.hin,k a n t a j {aaaaaØo} {ij} {Øh} {V} n
PERUNA,peruna,peruna,p e r u n {aaaaaoØo} 
PERUNA GEN,peruna.n,peruna.n,p e r u n {aaaaaoØo} n
PERUNA PTV,peruna.a,peruna.Øa,p e r u n {aaaaaoØo} {Øt} {aä}
PERUNA PTV,peruna.ta,peruna.ta,p e r u n {aaaaaoØo} {Øt} {aä}
PERUNA ESS,peruna.na,peruna.na,p e r u n {aaaaaoØo} {nrs} {aä}
PERUNA ILL,peruna.an,peruna.Øan,p e r u n {aaaaaoØo} {Øh} {V} n
PERUNA ILL,peruna.han,peruna.han,p e r u n {aaaaaoØo} {Øh} {V} n
PERUNA PL INE,peruno.i.ssa,peruno.i.ssa,p e r u n {aaaaaoØo} {ij} s s {aä}
PERUNA PL INE,perun.i.ssa,perunØ.i.ssa,p e r u n {aaaaaoØo} {ij} s s {aä}
PERUNA PL GENiden,peruno.i.den,peruno.i.dØen,p e r u n {aaaaaoØo} {ij} {dt} {Øt} e n
PERUNA PL GENiden,peruno.i.tten,peruno.i.tten,p e r u n {aaaaaoØo} {ij} {dt} {Øt} e n
PERUNA PL GENien,perun.i.en,perunØ.i.en,p e r u n {aaaaaoØo} {ij} e n
PERUNA PL GENien,peruno.j.en,peruno.j.en,p e r u n {aaaaaoØo} {ij} e n
PERUNA GENin,peruna.in,peruna.in,p e r u n {aaaaaoØo} i n
PERUNA PL PTV,peruno.i.ta,peruno.i.ta,p e r u n {aaaaaoØo} {ij} {Øt} {aä}
PERUNA PL PTV,perun.i.a,perunØ.i.Øa,p e r u n {aaaaaoØo} {ij} {Øt} {aä}
PERUNA PL PTV,peruno.j.a,peruno.j.Øa,p e r u n {aaaaaoØo} {ij} {Øt} {aä}
PERUNA PL ILL,peruno.i.hin,peruno.i.hin,p e r u n {aaaaaoØo} {ij} {Øh} {V} n
PERUNA PL ILL,perun.i.in,perunØ.i.Øin,p e r u n {aaaaaoØo} {ij} {Øh} {V} n
PERUNA PL ILL,perun.i.hin,perunØ.i.hin,p e r u n {aaaaaoØo} {ij} {Øh} {V} n
PASUUNA,pasuuna,pasuuna,p a s u u n {aaaaaooØ} 
PASUUNA GEN,pasuuna.n,pasuuna.n,p a s u u n {aaaaaooØ} n
PASUUNA PTV,pasuuna.a,pasuuna.Øa,p a s u u n {aaaaaooØ} {Øt} {aä}
PASUUNA PTV,pasuuna.ta,pasuuna.ta,p a s u u n {aaaaaooØ} {Øt} {aä}
PASUUNA ESS,pasuuna.na,pasuuna.na,p a s u u n {aaaaaooØ} {nrs} {aä}
PASUUNA ILL,pasuuna.an,pasuuna.Øan,p a s u u n {aaaaaooØ} {Øh} {V} n
PASUUNA ILL,pasuuna.han,pasuuna.han,p a s u u n {aaaaaooØ} {Øh} {V} n
PASUUNA PL INE,pasuuno.i.ssa,pasuuno.i.ssa,p a s u u n {aaaaaooØ} {ij} s s {aä}
PASUUNA PL INE,pasuun.i.ssa,pasuunØ.i.ssa,p a s u u n {aaaaaooØ} {ij} s s {aä}
PASUUNA PL GENiden,pasuuno.i.den,pasuuno.i.dØen,p a s u u n {aaaaaooØ} {ij} {dt} {Øt} e n
PASUUNA PL GENiden,pasuuno.i.tten,pasuuno.i.tten,p a s u u n {aaaaaooØ} {ij} {dt} {Øt} e n
PASUUNA PL GENien,pasuuno.j.en,pasuuno.j.en,p a s u u n {aaaaaooØ} {ij} e n
PASUUNA PL GENien,pasuun.i.en,pasuunØ.i.en,p a s u u n {aaaaaooØ} {ij} e n
PASUUNA GENin,pasuuna.in,pasuuna.in,p a s u u n {aaaaaooØ} i n
PASUUNA PL PTV,pasuuno.i.ta,pasuuno.i.ta,p a s u u n {aaaaaooØ} {ij} {Øt} {aä}
PASUUNA PL PTV,pasuuno.j.a,pasuuno.j.Øa,p a s u u n {aaaaaooØ} {ij} {Øt} {aä}
PASUUNA PL PTV,pasuun.i.a,pasuunØ.i.Øa,p a s u u n {aaaaaooØ} {ij} {Øt} {aä}
PASUUNA PL ILL,pasuuno.i.hin,pasuuno.i.hin,p a s u u n {aaaaaooØ} {ij} {Øh} {V} n
PASUUNA PL ILL,pasuun.i.in,pasuunØ.i.Øin,p a s u u n {aaaaaooØ} {ij} {Øh} {V} n
PASUUNA PL ILL,pasuun.i.hin,pasuunØ.i.hin,p a s u u n {aaaaaooØ} {ij} {Øh} {V} n
AINOA,ainoa,ainoa,a i n o {aaaaaØ} 
AINOA GEN,ainoa.n,ainoa.n,a i n o {aaaaaØ} n
AINOA PTV,ainoa.a,ainoa.Øa,a i n o {aaaaaØ} {Øt} {aä}
AINOA PTV,ainoa.ta,ainoa.ta,a i n o {aaaaaØ} {Øt} {aä}
AINOA ESS,ainoa.na,ainoa.na,a i n o {aaaaaØ} {nrs} {aä}
AINOA ILL,ainoa.an,ainoa.Øan,a i n o {aaaaaØ} {Øh} {V} n
AINOA ILL,ainoa.han,ainoa.han,a i n o {aaaaaØ} {Øh} {V} n
AINOA PL INE,aino.i.ssa,ainoØ.i.ssa,a i n o {aaaaaØ} {ij} s s {aä}
AINOA PL GENiden,aino.i.den,ainoØ.i.dØen,a i n o {aaaaaØ} {ij} {dt} {Øt} e n
AINOA PL GENiden,aino.i.tten,ainoØ.i.tten,a i n o {aaaaaØ} {ij} {dt} {Øt} e n
AINOA GENin,ainoa.in,ainoa.in,a i n o {aaaaaØ} i n
AINOA PL PTV,aino.i.ta,ainoØ.i.ta,a i n o {aaaaaØ} {ij} {Øt} {aä}
AINOA PL ILL,aino.i.hin,ainoØ.i.hin,a i n o {aaaaaØ} {ij} {Øh} {V} n
AINOA PL ILLsiin,aino.i.siin,ainoØ.i.siin,a i n o {aaaaaØ} {ij} s i {iØ} n
AINOO,ainoo,ainoo,a i n o {ooooØ} 
AINOO GEN,ainoo.n,ainoo.n,a i n o {ooooØ} n
AINOO PTV,ainoo.ta,ainoo.ta,a i n o {ooooØ} {Øt} {aä}
AINOO ESS,ainoo.na,ainoo.na,a i n o {ooooØ} {nrs} {aä}
AINOO ILLseen,ainoo.seen,ainoo.seen,a i n o {ooooØ} s e {Øe} n
AINOO PL INE,aino.i.ssa,ainoØ.i.ssa,a i n o {ooooØ} {ij} s s {aä}
AINOO PL GENiden,aino.i.den,ainoØ.i.dØen,a i n o {ooooØ} {ij} {dt} {Øt} e n
AINOO PL GENiden,aino.i.tten,ainoØ.i.tten,a i n o {ooooØ} {ij} {dt} {Øt} e n
AINOO PL PTV,aino.i.ta,ainoØ.i.ta,a i n o {ooooØ} {ij} {Øt} {aä}
AINOO PL ILL,aino.i.hin,ainoØ.i.hin,a i n o {ooooØ} {ij} {Øh} {V} n
AINOO PL ILLsiin,aino.i.siin,ainoØ.i.siin,a i n o {ooooØ} {ij} s i {iØ} n
HERTTUA,herttua,herttua,h e r t t u {aaaaaoØ} 
HERTTUA GEN,herttua.n,herttua.n,h e r t t u {aaaaaoØ} n
HERTTUA PTV,herttua.a,herttua.Øa,h e r t t u {aaaaaoØ} {Øt} {aä}
HERTTUA PTV,herttua.ta,herttua.ta,h e r t t u {aaaaaoØ} {Øt} {aä}
HERTTUA ESS,herttua.na,herttua.na,h e r t t u {aaaaaoØ} {nrs} {aä}
HERTTUA ILL,herttua.an,herttua.Øan,h e r t t u {aaaaaoØ} {Øh} {V} n
HERTTUA ILL,herttua.han,herttua.han,h e r t t u {aaaaaoØ} {Øh} {V} n
HERTTUA PL INE,herttuo.i.ssa,herttuo.i.ssa,h e r t t u {aaaaaoØ} {ij} s s {aä}
HERTTUA PL INE,herttu.i.ssa,herttuØ.i.ssa,h e r t t u {aaaaaoØ} {ij} s s {aä}
HERTTUA PL GENiden,herttuo.i.den,herttuo.i.dØen,h e r t t u {aaaaaoØ} {ij} {dt} {Øt} e n
HERTTUA PL GENiden,herttuo.i.tten,herttuo.i.tten,h e r t t u {aaaaaoØ} {ij} {dt} {Øt} e n
HERTTUA PL GENiden,herttu.i.den,herttuØ.i.dØen,h e r t t u {aaaaaoØ} {ij} {dt} {Øt} e n
HERTTUA PL GENiden,herttu.i.tten,herttuØ.i.tten,h e r t t u {aaaaaoØ} {ij} {dt} {Øt} e n
HERTTUA GENin,herttua.in,herttua.in,h e r t t u {aaaaaoØ} i n
HERTTUA PL PTV,herttuo.i.ta,herttuo.i.ta,h e r t t u {aaaaaoØ} {ij} {Øt} {aä}
HERTTUA PL PTV,herttu.i.ta,herttuØ.i.ta,h e r t t u {aaaaaoØ} {ij} {Øt} {aä}
HERTTUA PL ILL,herttuo.i.hin,herttuo.i.hin,h e r t t u {aaaaaoØ} {ij} {Øh} {V} n
HERTTUA PL ILL,herttu.i.hin,herttuØ.i.hin,h e r t t u {aaaaaoØ} {ij} {Øh} {V} n
KORKEA,korkea,korkea,k o r k e {aaaaaØo} 
KORKEA GEN,korkea.n,korkea.n,k o r k e {aaaaaØo} n
KORKEA PTV,korkea.a,korkea.Øa,k o r k e {aaaaaØo} {Øt} {aä}
KORKEA PTV,korkea.ta,korkea.ta,k o r k e {aaaaaØo} {Øt} {aä}
KORKEA ESS,korkea.na,korkea.na,k o r k e {aaaaaØo} {nrs} {aä}
KORKEA ILL,korkea.an,korkea.Øan,k o r k e {aaaaaØo} {Øh} {V} n
KORKEA ILL,korkea.han,korkea.han,k o r k e {aaaaaØo} {Øh} {V} n
KORKEA PL INE,korke.i.ssa,korkeØ.i.ssa,k o r k e {aaaaaØo} {ij} s s {aä}
KORKEA PL INE,korkeo.i.ssa,korkeo.i.ssa,k o r k e {aaaaaØo} {ij} s s {aä}
KORKEA PL GENiden,korke.i.den,korkeØ.i.dØen,k o r k e {aaaaaØo} {ij} {dt} {Øt} e n
KORKEA PL GENiden,korke.i.tten,korkeØ.i.tten,k o r k e {aaaaaØo} {ij} {dt} {Øt} e n
KORKEA PL GENiden,korkeo.i.den,korkeo.i.dØen,k o r k e {aaaaaØo} {ij} {dt} {Øt} e n
KORKEA PL GENiden,korkeo.i.tten,korkeo.i.tten,k o r k e {aaaaaØo} {ij} {dt} {Øt} e n
KORKEA GENin,korkea.in,korkea.in,k o r k e {aaaaaØo} i n
KORKEA PL PTV,korke.i.ta,korkeØ.i.ta,k o r k e {aaaaaØo} {ij} {Øt} {aä}
KORKEA PL PTV,korkeo.i.ta,korkeo.i.ta,k o r k e {aaaaaØo} {ij} {Øt} {aä}
KORKEA PL ILL,korke.i.hin,korkeØ.i.hin,k o r k e {aaaaaØo} {ij} {Øh} {V} n
KORKEA PL ILL,korkeo.i.hin,korkeo.i.hin,k o r k e {aaaaaØo} {ij} {Øh} {V} n
KORKEA PL ILLsiin,korke.i.siin,korkeØ.i.siin,k o r k e {aaaaaØo} {ij} s i {iØ} n
LEVEÄ,leveä,leveä,l e v e {äääääØö} 
LEVEÄ GEN,leveä.n,leveä.n,l e v e {äääääØö} n
LEVEÄ PTV,leveä.ä,leveä.Øä,l e v e {äääääØö} {Øt} {aä}
LEVEÄ PTV,leveä.tä,leveä.tä,l e v e {äääääØö} {Øt} {aä}
LEVEÄ ESS,leveä.nä,leveä.nä,l e v e {äääääØö} {nrs} {aä}
LEVEÄ ILL,leveä.än,leveä.Øän,l e v e {äääääØö} {Øh} {V} n
LEVEÄ ILL,leveä.hän,leveä.hän,l e v e {äääääØö} {Øh} {V} n
LEVEÄ PL INE,leve.i.ssä,leveØ.i.ssä,l e v e {äääääØö} {ij} s s {aä}
LEVEÄ PL INE,leveö.i.ssä,leveö.i.ssä,l e v e {äääääØö} {ij} s s {aä}
LEVEÄ PL GENiden,leve.i.den,leveØ.i.dØen,l e v e {äääääØö} {ij} {dt} {Øt} e n
LEVEÄ PL GENiden,leve.i.tten,leveØ.i.tten,l e v e {äääääØö} {ij} {dt} {Øt} e n
LEVEÄ PL GENiden,leveö.i.den,leveö.i.dØen,l e v e {äääääØö} {ij} {dt} {Øt} e n
LEVEÄ PL GENiden,leveö.i.tten,leveö.i.tten,l e v e {äääääØö} {ij} {dt} {Øt} e n
LEVEÄ GENin,leveä.in,leveä.in,l e v e {äääääØö} i n
LEVEÄ PL PTV,leve.i.tä,leveØ.i.tä,l e v e {äääääØö} {ij} {Øt} {aä}
LEVEÄ PL PTV,leveö.i.tä,leveö.i.tä,l e v e {äääääØö} {ij} {Øt} {aä}
LEVEÄ PL ILL,leve.i.hin,leveØ.i.hin,l e v e {äääääØö} {ij} {Øh} {V} n
