MORPHEMES,MORPHS,ZEROFILLED,RAW
ORI PL INE,orih.i.ssa,orihØ.i.ssa,o r i {ØØhtØhØh} {ØiiØiiØØ} {ij} s s {aä}
ORI PL GENiden,ori.i.den,oriØØ.i.dØen,o r i {ØØhtØhØh} {ØiiØiiØØ} {ij} {dt} {Øt} e n
ORI PL GENiden,ori.i.tten,oriØØ.i.tten,o r i {ØØhtØhØh} {ØiiØiiØØ} {ij} {dt} {Øt} e n
ORI PL GENiden,orih.i.tten,orihØ.i.tten,o r i {ØØhtØhØh} {ØiiØiiØØ} {ij} {dt} {Øt} e n
ORI PL GENien,orih.i.en,orihØ.i.en,o r i {ØØhtØhØh} {ØiiØiiØØ} {ij} e n
ORI PLGENten,orit.ten,oritØ.ten,o r i {ØØhtØhØh} {ØiiØiiØØ} t e n
ORI PL PTV,ori.i.ta,oriØØ.i.ta,o r i {ØØhtØhØh} {ØiiØiiØØ} {ij} {Øt} {aä}
ORI PL PTV,orih.i.a,orihØ.i.Øa,o r i {ØØhtØhØh} {ØiiØiiØØ} {ij} {Øt} {aä}
ORI PL ILL,ori.i.hin,oriØØ.i.hin,o r i {ØØhtØhØh} {ØiiØiiØØ} {ij} {Øh} {V} n
ORI PL ILLsiin,ori.i.siin,oriØØ.i.siin,o r i {ØØhtØhØh} {ØiiØiiØØ} {ij} s i {iØ} n
ORI PL ILLsiin,orih.i.sin,orihØ.i.siØn,o r i {ØØhtØhØh} {ØiiØiiØØ} {ij} s i {iØ} n
KIIRU,kiiru,kiiruØØ,k i i r u {ØØhtØhØh} {ØuuØuuØØ} 
KIIRU GEN,kiiruu.n,kiiruØu.n,k i i r u {ØØhtØhØh} {ØuuØuuØØ} n
KIIRU GEN,kiiruhu.n,kiiruhu.n,k i i r u {ØØhtØhØh} {ØuuØuuØØ} n
KIIRU PTV,kiirut.ta,kiirutØ.ta,k i i r u {ØØhtØhØh} {ØuuØuuØØ} {Øt} {aä}
KIIRU ESS,kiiruu.na,kiiruØu.na,k i i r u {ØØhtØhØh} {ØuuØuuØØ} {nrs} {aä}
KIIRU ESS,kiiruhu.na,kiiruhu.na,k i i r u {ØØhtØhØh} {ØuuØuuØØ} {nrs} {aä}
KIIRU ILLseen,kiiruu.seen,kiiruØu.seen,k i i r u {ØØhtØhØh} {ØuuØuuØØ} s e {Øe} n
KIIRU ILLseen,kiiruhu.sen,kiiruhu.seØn,k i i r u {ØØhtØhØh} {ØuuØuuØØ} s e {Øe} n
KIIRU PL INE,kiiru.i.ssa,kiiruØØ.i.ssa,k i i r u {ØØhtØhØh} {ØuuØuuØØ} {ij} s s {aä}
KIIRU PL INE,kiiruh.i.ssa,kiiruhØ.i.ssa,k i i r u {ØØhtØhØh} {ØuuØuuØØ} {ij} s s {aä}
KIIRU PL GENiden,kiiru.i.den,kiiruØØ.i.dØen,k i i r u {ØØhtØhØh} {ØuuØuuØØ} {ij} {dt} {Øt} e n
KIIRU PL GENiden,kiiru.i.tten,kiiruØØ.i.tten,k i i r u {ØØhtØhØh} {ØuuØuuØØ} {ij} {dt} {Øt} e n
KIIRU PL GENiden,kiiruh.i.tten,kiiruhØ.i.tten,k i i r u {ØØhtØhØh} {ØuuØuuØØ} {ij} {dt} {Øt} e n
KIIRU PL GENien,kiiruh.i.en,kiiruhØ.i.en,k i i r u {ØØhtØhØh} {ØuuØuuØØ} {ij} e n
KIIRU PLGENten,kiirut.ten,kiirutØ.ten,k i i r u {ØØhtØhØh} {ØuuØuuØØ} t e n
KIIRU PL PTV,kiiru.i.ta,kiiruØØ.i.ta,k i i r u {ØØhtØhØh} {ØuuØuuØØ} {ij} {Øt} {aä}
KIIRU PL PTV,kiiruh.i.a,kiiruhØ.i.Øa,k i i r u {ØØhtØhØh} {ØuuØuuØØ} {ij} {Øt} {aä}
KIIRU PL ILL,kiiru.i.hin,kiiruØØ.i.hin,k i i r u {ØØhtØhØh} {ØuuØuuØØ} {ij} {Øh} {V} n
KIIRU PL ILLsiin,kiiru.i.siin,kiiruØØ.i.siin,k i i r u {ØØhtØhØh} {ØuuØuuØØ} {ij} s i {iØ} n
KIIRU PL ILLsiin,kiiruh.i.sin,kiiruhØ.i.siØn,k i i r u {ØØhtØhØh} {ØuuØuuØØ} {ij} s i {iØ} n
ASKEL,askel,askelØ,a s k e l {ØeØeØ} 
ASKEL GEN,askele.n,askele.n,a s k e l {ØeØeØ} n
ASKEL PTV,askel.ta,askelØ.ta,a s k e l {ØeØeØ} {Øt} {aä}
ASKEL ESS,askele.na,askele.na,a s k e l {ØeØeØ} {nrs} {aä}
ASKEL ILL,askele.en,askele.Øen,a s k e l {ØeØeØ} {Øh} {V} n
ASKEL ILL,askele.hen,askele.hen,a s k e l {ØeØeØ} {Øh} {V} n
ASKEL PL INE,askel.i.ssa,askelØ.i.ssa,a s k e l {ØeØeØ} {ij} s s {aä}
ASKEL PL GENien,askel.i.en,askelØ.i.en,a s k e l {ØeØeØ} {ij} e n
ASKEL PLGENten,askel.ten,askelØ.ten,a s k e l {ØeØeØ} t e n
ASKEL PL PTV,askel.i.a,askelØ.i.Øa,a s k e l {ØeØeØ} {ij} {Øt} {aä}
ASKEL PL ILL,askel.i.in,askelØ.i.Øin,a s k e l {ØeØeØ} {ij} {Øh} {V} n
ASKEL PL ILL,askel.i.hin,askelØ.i.hin,a s k e l {ØeØeØ} {ij} {Øh} {V} n
ASKELE,askele,askeleØØ,a s k e l e {ØhØtØØ} {ØeeØeØ} 
ASKELE GEN,askelehe.n,askelehe.n,a s k e l e {ØhØtØØ} {ØeeØeØ} n
ASKELE GEN,askelee.n,askeleØe.n,a s k e l e {ØhØtØØ} {ØeeØeØ} n
ASKELE PTV,askelet.ta,askeletØ.ta,a s k e l e {ØhØtØØ} {ØeeØeØ} {Øt} {aä}
ASKELE ESS,askelee.na,askeleØe.na,a s k e l e {ØhØtØØ} {ØeeØeØ} {nrs} {aä}
ASKELE ILLseen,askelee.seen,askeleØe.seen,a s k e l e {ØhØtØØ} {ØeeØeØ} s e {Øe} n
ASKELE PL INE,askele.i.ssa,askeleØØ.i.ssa,a s k e l e {ØhØtØØ} {ØeeØeØ} {ij} s s {aä}
ASKELE PL GENiden,askele.i.den,askeleØØ.i.dØen,a s k e l e {ØhØtØØ} {ØeeØeØ} {ij} {dt} {Øt} e n
ASKELE PL GENiden,askele.i.tten,askeleØØ.i.tten,a s k e l e {ØhØtØØ} {ØeeØeØ} {ij} {dt} {Øt} e n
ASKELE PL PTV,askele.i.ta,askeleØØ.i.ta,a s k e l e {ØhØtØØ} {ØeeØeØ} {ij} {Øt} {aä}
ASKELE PL ILL,askele.i.hin,askeleØØ.i.hin,a s k e l e {ØhØtØØ} {ØeeØeØ} {ij} {Øh} {V} n
ASKELE PL ILLsiin,askele.i.siin,askeleØØ.i.siin,a s k e l e {ØhØtØØ} {ØeeØeØ} {ij} s i {iØ} n
